agent,opponent,games,wins,losses,draws,score_rate,win_rate,avg_turns,avg_trap_events,avg_wall_actions,avg_path_delta
argmax_q_trap,q_learning,20,10,10,0,0.5000,0.5000,54.000,1.000,10.000,-6.500
counter_trap,mcts_5,20,20,0,0,1.0000,1.0000,24.500,0.500,5.500,-8.000
depth_trap,minimax_d1,20,20,0,0,1.0000,1.0000,21.500,0.000,4.000,-8.000
greedy_bfs,path_lure,20,10,10,0,0.5000,0.5000,11.000,0.000,0.000,-5.000
mcts_5,counter_trap,20,0,20,0,0.0000,0.0000,24.500,0.000,0.000,3.500
mcts_5,rollout_poison,20,0,20,0,0.0000,0.0000,33.500,0.000,1.000,-0.500
minimax_d1,depth_trap,20,0,20,0,0.0000,0.0000,21.500,0.000,0.000,-2.500
path_lure,greedy_bfs,20,10,10,0,0.5000,0.5000,11.000,0.000,0.500,-5.500
q_learning,argmax_q_trap,20,10,10,0,0.5000,0.5000,54.000,0.000,1.000,2.500
rollout_poison,mcts_5,20,20,0,0,1.0000,1.0000,33.500,1.000,7.000,-8.000
