game_id,pair_id,pair_index,game_index,agent_a,agent_b,agent0,agent1,seed,status,error,elapsed_seconds,winner,winner_name,turns,max_turns_reached,disqualified_player,remaining_walls_0,remaining_walls_1,initial_path_0,initial_path_1,final_path_0,final_path_1,final_path_delta_0,final_path_delta_1,final_diversity_0,final_diversity_1,min_diversity_0,min_diversity_1,move_actions_0,move_actions_1,wall_actions_0,wall_actions_1,trap_events_0,trap_events_1
target-0000-0003,path_lure__vs__greedy_bfs,0,3,path_lure,greedy_bfs,greedy_bfs,path_lure,3,ok,,4.783303,1,path_lure,14,False,,10,10,8,8,1,0,-7,-8,1,0,1,0,7,7,0,0,0,0
target-0000-0001,path_lure__vs__greedy_bfs,0,1,path_lure,greedy_bfs,greedy_bfs,path_lure,1,ok,,4.808618,1,path_lure,14,False,,10,10,8,8,1,0,-7,-8,1,0,1,0,7,7,0,0,0,0
target-0000-0005,path_lure__vs__greedy_bfs,0,5,path_lure,greedy_bfs,greedy_bfs,path_lure,5,ok,,0.691120,1,path_lure,14,False,,10,10,8,8,1,0,-7,-8,1,0,1,0,7,7,0,0,0,0
target-0000-0002,path_lure__vs__greedy_bfs,0,2,path_lure,greedy_bfs,path_lure,greedy_bfs,2,ok,,6.299536,0,path_lure,21,False,,8,10,8,8,0,1,-8,-7,0,1,0,1,9,10,2,0,0,0
target-0000-0000,path_lure__vs__greedy_bfs,0,0,path_lure,greedy_bfs,path_lure,greedy_bfs,0,ok,,6.506257,0,path_lure,21,False,,8,10,8,8,0,1,-8,-7,0,1,0,1,9,10,2,0,0,0
target-0000-0008,path_lure__vs__greedy_bfs,0,8,path_lure,greedy_bfs,path_lure,greedy_bfs,8,ok,,2.618254,0,path_lure,21,False,,8,10,8,8,0,1,-8,-7,0,1,0,1,9,10,2,0,0,0
target-0000-0007,path_lure__vs__greedy_bfs,0,7,path_lure,greedy_bfs,greedy_bfs,path_lure,7,ok,,3.968175,1,path_lure,14,False,,10,10,8,8,1,0,-7,-8,1,0,1,0,7,7,0,0,0,0
target-0000-0004,path_lure__vs__greedy_bfs,0,4,path_lure,greedy_bfs,path_lure,greedy_bfs,4,ok,,5.654555,0,path_lure,21,False,,8,10,8,8,0,1,-8,-7,0,1,0,1,9,10,2,0,0,0
target-0000-0006,path_lure__vs__greedy_bfs,0,6,path_lure,greedy_bfs,path_lure,greedy_bfs,6,ok,,5.611439,0,path_lure,21,False,,8,10,8,8,0,1,-8,-7,0,1,0,1,9,10,2,0,0,0
target-0000-0011,path_lure__vs__greedy_bfs,0,11,path_lure,greedy_bfs,greedy_bfs,path_lure,11,ok,,0.804234,1,path_lure,14,False,,10,10,8,8,1,0,-7,-8,1,0,1,0,7,7,0,0,0,0
target-0000-0013,path_lure__vs__greedy_bfs,0,13,path_lure,greedy_bfs,greedy_bfs,path_lure,13,ok,,0.786691,1,path_lure,14,False,,10,10,8,8,1,0,-7,-8,1,0,1,0,7,7,0,0,0,0
target-0000-0010,path_lure__vs__greedy_bfs,0,10,path_lure,greedy_bfs,path_lure,greedy_bfs,10,ok,,2.876718,0,path_lure,21,False,,8,10,8,8,0,1,-8,-7,0,1,0,1,9,10,2,0,0,0
target-0000-0009,path_lure__vs__greedy_bfs,0,9,path_lure,greedy_bfs,greedy_bfs,path_lure,9,ok,,4.336760,1,path_lure,14,False,,10,10,8,8,1,0,-7,-8,1,0,1,0,7,7,0,0,0,0
target-0000-0012,path_lure__vs__greedy_bfs,0,12,path_lure,greedy_bfs,path_lure,greedy_bfs,12,ok,,2.790382,0,path_lure,21,False,,8,10,8,8,0,1,-8,-7,0,1,0,1,9,10,2,0,0,0
target-0000-0015,path_lure__vs__greedy_bfs,0,15,path_lure,greedy_bfs,greedy_bfs,path_lure,15,ok,,0.792289,1,path_lure,14,False,,10,10,8,8,1,0,-7,-8,1,0,1,0,7,7,0,0,0,0
target-0000-0017,path_lure__vs__greedy_bfs,0,17,path_lure,greedy_bfs,greedy_bfs,path_lure,17,ok,,0.655586,1,path_lure,14,False,,10,10,8,8,1,0,-7,-8,1,0,1,0,7,7,0,0,0,0
target-0000-0016,path_lure__vs__greedy_bfs,0,16,path_lure,greedy_bfs,path_lure,greedy_bfs,16,ok,,1.292940,0,path_lure,21,False,,8,10,8,8,0,1,-8,-7,0,1,0,1,9,10,2,0,0,0
target-0000-0014,path_lure__vs__greedy_bfs,0,14,path_lure,greedy_bfs,path_lure,greedy_bfs,14,ok,,2.802422,0,path_lure,21,False,,8,10,8,8,0,1,-8,-7,0,1,0,1,9,10,2,0,0,0
target-0000-0018,path_lure__vs__greedy_bfs,0,18,path_lure,greedy_bfs,path_lure,greedy_bfs,18,ok,,1.320607,0,path_lure,21,False,,8,10,8,8,0,1,-8,-7,0,1,0,1,9,10,2,0,0,0
target-0000-0019,path_lure__vs__greedy_bfs,0,19,path_lure,greedy_bfs,greedy_bfs,path_lure,19,ok,,0.710315,1,path_lure,14,False,,10,10,8,8,1,0,-7,-8,1,0,1,0,7,7,0,0,0,0
target-0001-0002,depth_trap__vs__minimax_d1,1,2,depth_trap,minimax_d1,depth_trap,minimax_d1,100002,ok,,1.089473,0,depth_trap,17,False,,8,10,8,8,0,3,-8,-5,0,2,0,1,7,8,2,0,0,0
target-0001-0000,depth_trap__vs__minimax_d1,1,0,depth_trap,minimax_d1,depth_trap,minimax_d1,100000,ok,,2.058069,0,depth_trap,21,False,,7,10,8,8,0,4,-8,-4,0,2,0,1,8,10,3,0,0,0
target-0001-0001,depth_trap__vs__minimax_d1,1,1,depth_trap,minimax_d1,minimax_d1,depth_trap,100001,ok,,2.002948,1,depth_trap,20,False,,10,7,8,8,1,0,-7,-8,1,0,1,0,10,7,0,3,0,0
target-0001-0003,depth_trap__vs__minimax_d1,1,3,depth_trap,minimax_d1,minimax_d1,depth_trap,100003,ok,,2.504146,1,depth_trap,22,False,,10,6,8,8,4,0,-4,-8,1,0,1,0,11,7,0,4,0,0
target-0001-0007,depth_trap__vs__minimax_d1,1,7,depth_trap,minimax_d1,minimax_d1,depth_trap,100007,ok,,0.637715,1,depth_trap,22,False,,10,6,8,8,4,0,-4,-8,1,0,1,0,11,7,0,4,0,0
target-0001-0004,depth_trap__vs__minimax_d1,1,4,depth_trap,minimax_d1,depth_trap,minimax_d1,100004,ok,,2.854823,0,depth_trap,29,False,,2,10,8,8,0,17,-8,9,0,1,0,1,7,14,8,0,1,0
